stat rdma operate:
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:416, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:272, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:288, src_port:0, dst_node:192, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:304, src_port:0, dst_node:208, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:320, src_port:0, dst_node:224, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:336, src_port:0, dst_node:240, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:352, src_port:0, dst_node:256, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:368, src_port:0, dst_node:272, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:384, src_port:0, dst_node:288, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:400, src_port:0, dst_node:304, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:416, src_port:0, dst_node:320, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:432, src_port:0, dst_node:336, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:448, src_port:0, dst_node:352, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:464, src_port:0, dst_node:368, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:480, src_port:0, dst_node:384, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:496, src_port:0, dst_node:400, dst_port:0, priority:0, msg_len:287225937
phase:3000
Type:rdma_send, src_node:0, src_port:0, dst_node:432, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:16, src_port:0, dst_node:448, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:32, src_port:0, dst_node:464, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:48, src_port:0, dst_node:480, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:64, src_port:0, dst_node:496, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:80, src_port:0, dst_node:0, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:96, src_port:0, dst_node:16, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:112, src_port:0, dst_node:32, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:128, src_port:0, dst_node:48, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:144, src_port:0, dst_node:64, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:160, src_port:0, dst_node:80, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:176, src_port:0, dst_node:96, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:192, src_port:0, dst_node:112, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:208, src_port:0, dst_node:128, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:224, src_port:0, dst_node:144, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:240, src_port:0, dst_node:160, dst_port:0, priority:0, msg_len:287225937
Type:rdma_send, src_node:256, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:287225937
